pk (S),sk (S),customer_id (N),helpful_votes (N),review_body (S),review_headline (S),sentiment (S),star_rating (N),total_votes (N),verified_purchase (S),vine (S),marketplace (S),product_category (S),product_parent (N),product_title (S),positive,mixed,negative,neutral
B00004R8V6,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,895944786,Olympus D-360L 1.3 MP Digital Camera,,,,
B00004R8V6,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,20,8,5,25
B00004SA31,2000-09-07#R1G40SS4T90NCG,50681562,15,"I have found this to be a wonderful camera.  I bought it specifically to  take on vacation with me about a year ago.  I thought it would be a good  opportunity to get a nice little camera that was convenient to try the new  Advantix film format.  I have enjoyed both.  The camera is light, of a nice  size, good zoom range, and very versatile in respect to the price.   Naturally it is not the best camera on the market, but for the price it  can't be beat.  The only annoyances I have found is that it automatically  defaults back to the 4x7 picture size so you have to remember to change it  - also the auto shut-off feature designed to save battery power, all to  often I have gone to take a picture and the camera has turned itself off  because I left it on for too long.  Still, for the price, nothing beats the  ease and convenience of this little gem of a camera.",Great Camera,,5,15,N,N,,,,,,,,
B00004SA31,2000-09-07#R1G40SS4T90NCG#SENTIMENT,,,,,MIXED,,,,,,,,,,,,
B00004SA31,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,585876782,Kodak C700 Advantix Zoom APS Camera,,,,
B00004SA31,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,60,9,4,34
B00004SYN1,2000-09-06#R2MPGG6R50NKEN,52603833,36,"1. Turn the LCD screen off except when framing shots.  This will allow the  battery to last a long time.  2. Make sure that you have the most recent  operating system for the camera.  It should be v.1.0.0.2.  You can verify  this (via any of the included software programs) when the camera is  connected to your computer.  This firmeware upgrade corrects many of the  color imbalances as well as allowing a faster shutter speed for flash  pictures (1/30th sec. vs. 1/15th), which reduces the probability of camera  shake. 3. Don't try and install the firmware upgrade (available on the  Canon website) if you have a Mac.  I don't know the genesis of the problem  (something about the USB connection or an installation glitch) but for most  people the camera freezes during upgrade, rendering it useless.  Canon can  install this for you under warranty and are very quick on turnaround.  (I  guess this is a long winded way of saying - give it a shot, but only if  you're prepared to send it to Canon anyway).<br />I'd give it 5 stars, but the  glitch I had with the firmware upgrade irked me.  Canon did fix it promptly  and the camera works like a charm.",Some tips when using this camera,,4,39,N,N,,,,,,,,
B00004SYN1,2000-09-06#R2MPGG6R50NKEN#SENTIMENT,,,,,NEUTRAL,,,,,,,,,,,,
B00004SYN1,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,598007729,Canon PowerShot S10 2MP Digital Camera w/ 2x Optical Zoom,,,,
B00004SYN1,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,25,12,3,78
B00004THA8,2000-09-06#R2HNNSLMNPSJP1,52949836,14,"With a wide range of tools and features, this camera has much to recommend  it in any case.  But the ability to set &quot;profiles&quot; for different  users (focus settings saved for different preferences) makes this a truly  useful camera.  A novice's best friend, the quick focus and easy dials and  readings turn out terrific pictures without any hardship.  If you are more  experienced, the many options for manual photography are equal to or  surpass most other cameras in this price range.  The eye-directed focus  feature is intriguing and kind of cool, though not what you would use all  the time.  This kit ships with a 28-80mm lens, great for &quot;all  around&quot; photography.  I recommend this camera highly; when my first  was stolen from a rental truck I didn't hesitate an instant to replace it.",Excellent camera for the novice and experienced alike,,5,15,N,N,,,,,,,,
B00004THA8,2000-09-06#R2HNNSLMNPSJP1#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00004THA8,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,215281742,Canon EOS Elan IIE 35mm SLR Camera Kit w/ 28-80mm Lens,,,,
B00004THA8,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,20,16,7,23
B00004THD4,2000-09-07#R2ZN1QRTCXHG1W,51637481,5,This is the best flash you can buy for the money.,speed light380 ex,,5,14,Y,N,,,,,,,,
B00004THD4,2000-09-07#R2ZN1QRTCXHG1W#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00004THD4,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,33396970,Canon Speedlite 380 EX Flash,,,,
B00004THD4,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,25,21,8,34
B00004THDE,2000-09-07#R11KACPP85PGCA,53096135,137,"The problem with high power binoculars is that humans can't hold them  steady, and that jitter makes it impossible to really look at something  without a tripod.  The image stabilization in this pair solves that problem  and holds things rock steady.  This is an expensive product that clearly  distingues itself, and one of those products that technology makes seem a  little magic.<br /> I have only two small complaints: First, for a product  this expensive they should pre-install the neck strap for you -- not a big  deal, but it would be nice for the customer.  Second, I wish the lens cap  covers were higher quality and attachable to the unit so they wouldn't get  lost.  Again, not a big deal.<br /> These are without a doubt the best  binoculars I've ever used.",Absolutely the best binoculars I've used,,5,153,N,N,,,,,,,,
B00004THDE,2000-09-07#R11KACPP85PGCA#SENTIMENT,,,,,MIXED,,,,,,,,,,,,
B00004THDE,2000-09-07#R1O6N079XAHHPX,52883116,57,"These things are incredible!  I received a pair of the Canon Image  Stabilization Binoculars as a gift from a friend and was immediately blown  away by how well they work.  The fact that they don't shake makes it  possible to read numbers and signs at great distances.  I race on sailboats  and the ability to read call letters and names on competitive boats is a  real help.  I also got the clearest view of the moon I have ever seen last  night.  The large lenses really capture a lot of light, so that you can see  clearly at night as well.  They are pricey, but you really get you money's  worth with this product.",Oh.....My.....God!,,5,61,N,N,,,,,,,,
B00004THDE,2000-09-07#R1O6N079XAHHPX#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00004THDE,2000-09-07#R2HE5OIAH0FL5U,52302729,29,"One of my co-workers got a pair of these from Amazon today. Wow! We stood at the window of our 24th floor office and read the menu of a hot-dog cart on a corner a block and a half away.<br />What really clinches it (and made it possible to read the hot-dog cart menu) is the image stabilization. If you have a high magnification, any minor shake of your hand is magnified.  Try it with a video camera with one of thos high digital zooms.  When you're at 100x, even the electronic image stabilization can't compensate just for the average minor muscle twitches in your hand. <br />The image stabilization on this is optical (i.e. analog), not digital, meaning there's no fuzzing of the image as a processor tries to adjust the image to compensate for vibration. Optical zoom and optical stabilization require more expensive mechanical components to implement, thus you'll see mid-range video cameras offering their digital counterparts to enhance or substitute for optical zooms and stabilizers.  <br />Given, these binoculars will set you back a pretty penny, but you could go to a ball game, sit in the nosebleeds and count the laces on the ball. Definitely a very cool thing for the gadget-oriented.",Almost a hand-held telescope,,5,31,N,N,,,,,,,,
B00004THDE,2000-09-07#R2HE5OIAH0FL5U#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00004THDE,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,828768747,"Canon 18x50 Image Stabilization All-Weather Binoculars w/Case, Neck Strap & Batteries",,,,
B00004THDE,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,40,20,12,56
B00004TYP7,2000-09-07#R23JV17DYLKNKX,48578363,7,"I bought this product recently in order to tape a few of my childrens'  soccer games. I found that it's light weight was usefull, but the  supposedly easy length adjustment was not as advertised. I found that the  product was difficult to use in this way and caused way too much shaking  for my vid cam. I also had problems with the rubber leg mounts that seemed  to &quot;scuff&quot; the tiles at home. But I did like the the solidity of  the product when correctly positioned. I would suggest you search elsewhere  unless the price comes down from $89.95",A field-and-travel tripod that travels well in the field,,3,8,N,N,,,,,,,,
B00004TYP7,2000-09-07#R23JV17DYLKNKX#SENTIMENT,,,,,MIXED,,,,,,,,,,,,
B00004TYP7,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,485794338,Velbon Chaser EFL-4(A) Adjustable Leg Spread Photographic/Video Tripod Leg Assembly,,,,
B00004TYP7,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,43,25,13,33
B00004U2JW,2000-09-07#R3MA96SRZSSBER,48308880,5,"cool camera with functions whitch i do need, but I cant buy her /and  others from my wish list/ because I am not living in U.S. Amazon hurry, she  is one of my favourite...",cool but to long way to get her to me,,4,27,N,N,,,,,,,,
B00004U2JW,2000-09-07#R3MA96SRZSSBER#SENTIMENT,,,,,MIXED,,,,,,,,,,,,
B00004U2JW,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,689553162,"Pretec DC520 0.3MP Digital Camera, Magenta Red",,,,
B00004U2JW,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,55,21,14,44
B00004WA7K,2000-09-07#R1TMKRF9SDQXG2,48578363,64,"A few weeks ago I was shopping around for a a new camcorder to replace my  sony video recorder from 1985. Since it had been so long since I had done  any shopping I carefully weighed my options. Hi8 creates an almost 40%  clearer and sharper image than regular 8mm. I don't have the equipment to  connect my pc to a dv camcorder.After careful consideration and a few  visits to my closest electronics shop I realized that this product was the  easiest, most affordable Hi8 and I love using it. I would recommend this to  anyone on a budget that has a desire to create quality video with ease and  precision.",Value and Power for under $400,,5,66,N,N,,,,,,,,
B00004WA7K,2000-09-07#R1TMKRF9SDQXG2#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00004WA7K,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,888668028,Sharp VLAH50U Hi8 Viewcam Camcorder (Discontinued by Manufacturer),,,,
B00004WA7K,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,30,23,2,12
